date,nav,scheme_code,scheme_name,fund_house
19-12-2019,10.85560,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
18-12-2019,10.85420,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
17-12-2019,10.85280,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
16-12-2019,10.85140,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
13-12-2019,10.84730,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
12-12-2019,10.84590,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
11-12-2019,10.84460,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
10-12-2019,10.84330,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
09-12-2019,10.84190,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
06-12-2019,10.83760,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
05-12-2019,10.83620,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
04-12-2019,10.83480,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
03-12-2019,10.83340,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
02-12-2019,10.83200,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
29-11-2019,10.82760,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
28-11-2019,10.82620,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
27-11-2019,10.82470,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
26-11-2019,10.82330,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
25-11-2019,10.82180,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
22-11-2019,10.81740,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
21-11-2019,10.81590,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
20-11-2019,10.81450,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
19-11-2019,10.81300,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
18-11-2019,10.81150,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
15-11-2019,10.80710,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
14-11-2019,10.80560,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
13-11-2019,10.80400,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
11-11-2019,10.80100,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
08-11-2019,10.79650,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
07-11-2019,10.79490,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
06-11-2019,10.79350,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
05-11-2019,10.79220,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
04-11-2019,10.79070,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
01-11-2019,10.78620,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
31-10-2019,10.78470,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
30-10-2019,10.78280,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
29-10-2019,10.78100,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
25-10-2019,10.77490,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
24-10-2019,10.77330,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
23-10-2019,10.77150,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
22-10-2019,10.77020,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
18-10-2019,10.76480,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
17-10-2019,10.76330,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
16-10-2019,10.76160,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
15-10-2019,10.75990,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
14-10-2019,10.75820,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
11-10-2019,10.75250,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
10-10-2019,10.75020,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
09-10-2019,10.74790,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
07-10-2019,10.74490,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
04-10-2019,10.73950,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
03-10-2019,10.73740,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
01-10-2019,10.73380,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
30-09-2019,10.73030,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
27-09-2019,10.72350,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
26-09-2019,10.72130,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
25-09-2019,10.71930,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
24-09-2019,10.71780,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
23-09-2019,10.71720,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
20-09-2019,10.71390,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
19-09-2019,10.71450,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
18-09-2019,10.71310,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
17-09-2019,10.71120,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
16-09-2019,10.71020,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
13-09-2019,10.70460,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
12-09-2019,10.70260,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
11-09-2019,10.69990,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
09-09-2019,10.69570,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
06-09-2019,10.69040,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
05-09-2019,10.68770,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
04-09-2019,10.68490,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
03-09-2019,10.68280,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
30-08-2019,10.67510,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
29-08-2019,10.67280,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
28-08-2019,10.67060,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
27-08-2019,10.66890,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
26-08-2019,10.66640,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
23-08-2019,10.66080,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
22-08-2019,10.65850,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
21-08-2019,10.65680,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
20-08-2019,10.65490,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
19-08-2019,10.65250,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
16-08-2019,10.64660,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
14-08-2019,10.64220,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
13-08-2019,10.64110,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
09-08-2019,10.63430,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
08-08-2019,10.63160,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
07-08-2019,10.62760,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
06-08-2019,10.62310,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
05-08-2019,10.61970,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
02-08-2019,10.61430,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
01-08-2019,10.61080,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
31-07-2019,10.60670,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
30-07-2019,10.60340,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
29-07-2019,10.59910,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
26-07-2019,10.59120,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
25-07-2019,10.58870,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
24-07-2019,10.58680,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
23-07-2019,10.58470,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
22-07-2019,10.58450,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
19-07-2019,10.57920,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
18-07-2019,10.57800,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
17-07-2019,10.57690,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
16-07-2019,10.57390,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
15-07-2019,10.56550,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
12-07-2019,10.55770,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
11-07-2019,10.55560,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
10-07-2019,10.55010,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
09-07-2019,10.54560,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
08-07-2019,10.54070,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
05-07-2019,10.53330,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
04-07-2019,10.52820,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
03-07-2019,10.52340,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
02-07-2019,10.51970,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
01-07-2019,10.51730,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
28-06-2019,10.51020,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
27-06-2019,10.50830,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
26-06-2019,10.50570,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
25-06-2019,10.50600,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
24-06-2019,10.50430,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
21-06-2019,10.49940,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
20-06-2019,10.49660,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
19-06-2019,10.49470,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
18-06-2019,10.49240,145670,Nippon India Interval Fund V - Series 2 - Direct Plan - Growth Option,Nippon India Mutual Fund
